Positions,Noise-free data,Noisy Data,Unbiased_loss_predition
"(-0.12864, 1.5689)",-1.0,-1.0,-1
"(0.99329, 0.39668)",1.0,1.0,-1
"(-1.6927, -1.1964)",1.0,1.0,1
"(0.90714, 0.19135)",-1.0,1.0,-1
"(1.2203, -0.017229)",-1.0,-1.0,-1
"(1.2119, 0.75243)",-1.0,-1.0,-1
"(0.47662, 0.79119)",-1.0,1.0,-1
"(0.08698, -1.277)",-1.0,-1.0,1
"(0.92764, -0.10172)",1.0,1.0,-1
"(0.83317, 0.65293)",-1.0,-1.0,-1
"(-0.12039, -1.2157)",-1.0,1.0,1
"(0.60612, -0.87667)",-1.0,1.0,1
"(2.4638, 1.2255)",1.0,1.0,1
"(-1.515, -0.76898)",1.0,-1.0,1
"(0.454, 1.4789)",1.0,-1.0,-1
"(0.63726, 0.0053578)",1.0,-1.0,-1
"(1.3641, -0.41193)",-1.0,-1.0,-1
"(0.072477, 0.59623)",1.0,1.0,-1
"(-0.67845, 1.6024)",-1.0,-1.0,1
"(0.40915, 1.7616)",-1.0,1.0,-1
"(-0.37573, -0.97482)",-1.0,1.0,1
"(1.1245, -0.90818)",1.0,1.0,1
"(1.7862, -0.10156)",-1.0,-1.0,-1
"(-0.75503, -0.75902)",1.0,-1.0,1
"(-0.26829, -1.5201)",-1.0,1.0,1
"(0.56863, -0.53826)",1.0,-1.0,1
"(0.9834, 0.20263)",-1.0,-1.0,-1
"(-0.40516, -1.253)",-1.0,1.0,1
"(1.2909, -0.39053)",-1.0,-1.0,-1
"(-0.097776, -0.42361)",1.0,-1.0,1
"(-0.96907, 1.0243)",-1.0,-1.0,1
"(0.14333, 0.26252)",1.0,-1.0,1
"(-1.0844, -0.86785)",1.0,1.0,1
"(-0.19836, 1.6703)",1.0,1.0,-1
"(-0.43633, 0.82063)",1.0,1.0,1
"(-0.65264, -0.73408)",-1.0,1.0,1
"(-0.85246, -0.29841)",1.0,1.0,1
"(0.16188, -0.7914)",-1.0,-1.0,1
"(0.67747, 0.96414)",-1.0,1.0,-1
"(-1.1484, 0.72878)",-1.0,1.0,-1
"(-1.3746, -0.80272)",1.0,1.0,1
"(0.49941, -1.1719)",-1.0,1.0,1
"(0.032883, 1.8783)",-1.0,1.0,-1
"(0.4261, 0.19381)",1.0,-1.0,-1
"(1.0909, 1.2127)",-1.0,-1.0,-1
"(1.1785, 0.39201)",-1.0,-1.0,-1
"(-0.79994, -1.3762)",-1.0,-1.0,1
"(-1.8044, 0.52907)",-1.0,1.0,-1
"(0.95467, -0.015787)",-1.0,-1.0,-1
"(-0.85492, 1.4421)",-1.0,1.0,1
"(1.7821, 1.3528)",1.0,1.0,1
"(-0.62522, -0.67524)",-1.0,-1.0,1
"(-0.53219, 0.97814)",-1.0,-1.0,1
"(-1.6361, -1.0451)",1.0,1.0,1
"(-0.17526, 0.064429)",1.0,-1.0,1
"(-1.0147, -1.6494)",-1.0,-1.0,1
"(1.6313, -0.55967)",-1.0,-1.0,-1
"(0.36964, 1.0337)",-1.0,-1.0,-1
"(-0.44591, -1.2756)",-1.0,-1.0,1
"(-0.11264, -0.19705)",1.0,1.0,1
"(-0.11903, 2.0583)",1.0,-1.0,-1
"(-1.1356, 0.033748)",1.0,-1.0,-1
"(-1.0155, 0.52124)",1.0,-1.0,-1
"(0.35148, -1.415)",-1.0,-1.0,1
"(-0.016048, -1.2567)",-1.0,-1.0,1
"(1.8044, 1.3171)",1.0,1.0,1
"(-0.76791, -0.016599)",1.0,1.0,1
"(1.8476, -0.37682)",-1.0,-1.0,-1
"(0.20855, 0.75486)",1.0,-1.0,-1
"(-1.5519, -1.4687)",1.0,1.0,1
"(-1.2388, -0.9191)",1.0,-1.0,1
"(1.1794, 1.4244)",1.0,1.0,1
"(-0.72379, -1.2586)",-1.0,-1.0,1
"(0.043947, 2.034)",1.0,1.0,-1
"(0.83621, 0.84935)",-1.0,-1.0,-1
"(0.72479, -0.53998)",1.0,-1.0,1
"(0.44921, 0.64772)",-1.0,-1.0,-1
"(0.01143, 1.6606)",-1.0,-1.0,-1
"(1.3244, -0.1441)",-1.0,-1.0,-1
"(-0.51594, -0.93479)",-1.0,-1.0,1
"(0.54385, 1.6343)",1.0,1.0,-1
"(0.65891, -0.98507)",1.0,1.0,1
"(1.2474, -1.6191)",1.0,1.0,1
"(-1.7046, -0.55356)",1.0,1.0,1
"(1.3057, -0.36016)",1.0,1.0,-1
"(1.407, 0.9004)",-1.0,-1.0,-1
"(1.6556, 0.23898)",-1.0,-1.0,-1
"(-0.069626, -0.89604)",-1.0,1.0,1
"(-0.85453, 1.2197)",-1.0,1.0,1
"(2.4655, 1.1176)",1.0,1.0,1
"(-0.85885, 0.88535)",-1.0,-1.0,1
"(-0.33664, 0.55943)",1.0,-1.0,1
"(1.552, -0.0054602)",-1.0,-1.0,-1
"(-0.21904, 0.52376)",1.0,1.0,1
"(-1.9221, -1.5027)",1.0,-1.0,1
"(1.0939, 1.0263)",-1.0,-1.0,-1
"(-1.2855, -0.26355)",1.0,1.0,1
"(-0.48207, 0.090347)",1.0,-1.0,1
"(-0.36939, -0.98376)",-1.0,-1.0,1
"(1.2429, 0.55445)",-1.0,-1.0,-1
"(-0.66525, 0.35708)",1.0,1.0,1
"(0.21564, 1.9636)",1.0,-1.0,-1
"(-0.7771, 1.2169)",-1.0,1.0,1
"(0.10852, 1.652)",1.0,1.0,-1
"(1.2428, -1.3318)",1.0,1.0,1
"(0.93339, 1.2085)",-1.0,1.0,-1
"(-0.68984, -1.3346)",-1.0,-1.0,1
"(-0.034211, 0.14456)",1.0,-1.0,1
"(0.71202, 0.83715)",-1.0,-1.0,-1
"(-0.71738, 1.0048)",-1.0,1.0,1
"(-0.21395, 0.37971)",1.0,-1.0,1
"(0.11206, 0.2383)",1.0,-1.0,1
"(0.34221, -0.70137)",-1.0,1.0,1
"(-0.23776, 1.7409)",1.0,1.0,-1
"(0.42176, 2.3283)",-1.0,-1.0,-1
"(1.7719, 0.013034)",-1.0,-1.0,-1
"(-1.0546, 0.71971)",-1.0,1.0,1
"(0.1571, 0.95613)",-1.0,-1.0,-1
"(-0.12293, -1.0679)",-1.0,1.0,1
"(2.0075, -0.69536)",-1.0,-1.0,-1
"(0.37832, 0.98669)",-1.0,-1.0,-1
"(-0.13811, -1.0289)",-1.0,-1.0,1
"(0.35087, -0.96445)",-1.0,-1.0,1
"(-1.1467, -0.64675)",1.0,-1.0,1
"(2.1248, 1.0717)",1.0,1.0,1
"(0.88326, -1.0036)",1.0,1.0,1
"(-0.48649, -1.6192)",-1.0,-1.0,1
"(-0.82737, -0.75656)",-1.0,1.0,1
"(-1.0714, -0.61609)",1.0,1.0,1
